cpu_key,cpu_label,passmark_multi,passmark_single,cores,release_year,source
intel core i3 13300he,Intel Core i3-13300HE,21057,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 9 5900hs,AMD Ryzen 9 5900HS,21052,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 170,AMD Ryzen 7 170,21040,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 5750ge,AMD Ryzen 7 PRO 5750GE,21014,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2699c v4,Intel Xeon E5-2699C v4 @ 2.20GHz,20972,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 13500h,Intel Core i5-13500H,20970,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 5755ge,AMD Ryzen 7 PRO 5755GE,20870,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2673 v4,Intel Xeon E5-2673 v4 @ 2.30GHz,20864,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2697r v4,Intel Xeon E5-2697R v4 @ 2.30GHz,20843,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 9 6900hs creator edition,AMD Ryzen 9 6900HS Creator Edition,20830,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 13800hre,Intel Core i7-13800HRE,20812,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 7900x,Intel Core i9-7900X @ 3.30GHz,20811,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e 2456,Intel Xeon E-2456,20808,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6126t,Intel Xeon Gold 6126T @ 2.60GHz,20807,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 7262,AMD EPYC 7262,20779,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 11700f,Intel Core i7-11700F @ 2.50GHz,20761,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 6800u,AMD Ryzen 7 6800U,20740,,8,2022,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 2155,Intel Xeon W-2155 @ 3.30GHz,20679,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon silver 4310t,Intel Xeon Silver 4310T @ 2.30GHz,20641,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon d 2753nt,Intel Xeon D-2753NT @ 2.00GHz,20626,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 11700,Intel Core i7-11700 @ 2.50GHz,20612,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6250,Intel Xeon Gold 6250 @ 3.90GHz,20552,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 5800h,AMD Ryzen 7 5800H,20550,,8,2021,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 12900te,Intel Core i9-12900TE,20543,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 9820x,Intel Core i9-9820X @ 3.30GHz,20533,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core ultra 5 335,Intel Core Ultra 5 335,20533,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6334,Intel Xeon Gold 6334 @ 3.60GHz,20512,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 12600he,Intel Core i5-12600HE,20506,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 6850u,AMD Ryzen 7 PRO 6850U,20504,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6226,Intel Xeon Gold 6226 @ 2.70GHz,20496,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 5315y,Intel Xeon Gold 5315Y @ 3.20GHz,20477,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 2150b,Intel Xeon W-2150B @ 3.00GHz,20452,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 12600h,Intel Core i5-12600H,20442,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd epyc 8024p,AMD EPYC 8024P,20427,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i9 11950h,Intel Core i9-11950H @ 2.60GHz,20416,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 pro 5650g,AMD Ryzen 5 PRO 5650G,20393,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 14400t,Intel Core i5-14400T,20383,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core ultra 7 355,Intel Core Ultra 7 355,20378,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 7900x,Intel Core i7-7900X @ 3.30GHz,20363,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 12490f,Intel Core i5-12490F,20361,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon gold 6138t,Intel Xeon Gold 6138T @ 2.00GHz,20356,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 13500te,Intel Core i5-13500TE,20346,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 5500x3d,AMD Ryzen 5 5500X3D,20331,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i3 12300hl,Intel Core i3-12300HL,20321,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 4667 v4,Intel Xeon E5-4667 v4 @ 2.20GHz,20319,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 12500h,Intel Core i5-12500H,20318,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 7640u,AMD Ryzen 5 7640U,20307,,6,2023,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon d 1747nte,Intel Xeon D-1747NTE @ 2.50GHz,20279,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 9 5980hs,AMD Ryzen 9 5980HS,20257,,8,2021,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 4750g,AMD Ryzen 7 PRO 4750G,20224,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core ultra 5 125h,Intel Core Ultra 5 125H,20215,,14,2023,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 7735u,AMD Ryzen 7 7735U,20212,,8,2023,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen embedded v3c48,AMD Ryzen Embedded V3C48,20203,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 5600gt,AMD Ryzen 5 5600GT,20160,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 7545u,AMD Ryzen 5 7545U,20158,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 11850he,Intel Core i7-11850HE @ 2.60GHz,20154,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i7 1280p,Intel Core i7-1280P,20087,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 pro 6860z,AMD Ryzen 7 PRO 6860Z,20084,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 7 4700g,AMD Ryzen 7 4700G,20070,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon w 1290,Intel Xeon W-1290 @ 3.20GHz,20064,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel xeon e5 2699 v3,Intel Xeon E5-2699 v3 @ 2.30GHz,20045,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 13400t,Intel Core i5-13400T,20018,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 8640u,AMD Ryzen 5 8640U,19961,,6,2024,PassMark (passmark_single_cpu_intel_amd.csv)
intel core i5 1350pre,Intel Core i5-1350PRE,19945,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core ultra 5 325,Intel Core Ultra 5 325,19907,,,,PassMark (passmark_single_cpu_intel_amd.csv)
amd ryzen 5 8640hs,AMD Ryzen 5 8640HS,19881,,,,PassMark (passmark_single_cpu_intel_amd.csv)
intel core ultra 9 288v,Intel Core Ultra 9 288V,19851,,,,PassMark (passmark_single_cpu_intel_amd.csv)
